@RELATION smtp_n

@ATTRIBUTE A REAL
@ATTRIBUTE B REAL
@ATTRIBUTE C REAL
@ATTRIBUTE id REAL
@ATTRIBUTE outlier {no, yes}

@DATA
0.237609811,0.067681492,0.458942537,39345.0,no
-1.087736175,-0.191993534,-0.265133821,13829.0,no
-1.087736175,2.38860833,-0.242694868,28444.0,no
0.595008538,0.738738858,-0.165202829,51543.0,no
-1.087736175,0.561021324,-0.321827812,23260.0,no
0.237609811,-0.025781807,0.523283463,38456.0,no
0.237609811,-1.059822915,-0.187179936,30127.0,no
-1.087736175,-0.437404042,-0.299046905,10276.0,no
0.595008538,-0.0704818,-0.23152571,49534.0,no
1.515278651,0.010469673,0.058074954,66779.0,no
0.595008538,-0.743239975,-0.23152571,47187.0,no
0.595008538,-0.286360701,-0.276404021,48718.0,no
1.268299023,0.412457927,-0.356261686,64126.0,no
1.268299023,-0.272684728,-0.220389837,63838.0,no
0.237609811,-0.131123347,-0.333270554,37409.0,no
1.341129511,-0.786295545,-0.253897503,64442.0,no
0.810270467,0.218329621,-0.321827812,55488.0,no
2.672644224,-0.906332909,-0.287708315,70979.0,no
-1.087736175,1.74256929,-0.310420001,28147.0,no
1.184393986,-0.696451205,-0.310420001,62472.0,no
-1.087736175,-1.141830805,-0.333270554,2193.0,no
0.237609811,-0.407298741,-0.265133821,34779.0,no
0.237609811,-0.810961854,0.149827428,31593.0,no
-1.087736175,-1.170956157,-0.356261686,1960.0,no
0.237609811,-0.998126611,0.709915502,30444.0,no
0.595008538,0.089188308,-0.299046905,50112.0,no
1.184393986,-0.218009971,-0.265133821,62798.0,no
1.085431844,-1.041044119,-0.265133821,59836.0,no
1.685375631,0.770398282,-0.209287049,68395.0,no
-1.087736175,0.484131908,-0.310420001,22559.0,no
-1.087736175,-0.239639551,-0.265133821,13113.0,no
0.595008538,-0.1390216,0.727213362,49276.0,no
-1.087736175,0.962051994,-0.287708315,26159.0,no
1.085431844,0.38645457,0.119492874,61651.0,no
-1.087736175,1.055202618,0.449659879,26604.0,no
0.237609811,-0.434641904,1.127776961,34544.0,no
0.964800434,-0.309014118,-0.23152571,57854.0,no
0.964800434,-0.384445446,-0.253897503,57742.0,no
0.810270467,-0.665518897,-0.287708315,53291.0,no
1.405470933,-0.144688971,0.787133051,65346.0,no
-1.087736175,-0.393813184,0.159884474,10860.0,no
-1.087736175,0.194105712,-0.321827812,19298.0,no
-1.087736175,0.131291829,-0.23152571,18541.0,no
-1.087736175,-0.852393745,-0.299046905,5014.0,no
-1.087736175,0.54467179,-0.321827812,23120.0,no
-1.087736175,-1.288607768,-0.861724669,1139.0,no
-1.087736175,0.010469673,0.761570732,16774.0,no
0.237609811,-0.671977773,1.127776961,32625.0,no
0.964800434,3.143787538,5.069225468,59508.0,no
0.810270467,-1.180033642,-0.23152571,52491.0,no
-1.087736175,1.315626221,-0.731992918,27482.0,no
0.237609811,-0.189650791,-0.299046905,36852.0,no
0.595008538,0.060772749,-0.321827812,49994.0,no
2.182220917,0.109431745,0.449659879,70444.0,no
0.595008538,-0.966238253,0.199844185,46581.0,no
-1.087736175,-0.968211392,-0.321827812,3766.0,no
-1.087736175,5.04530539,-0.209287049,43.0,no
-1.087736175,1.343054435,0.088910084,27555.0,no
1.184393986,-0.748341384,-0.299046905,62444.0,no
0.810270467,-0.950546578,0.209767709,52770.0,no
0.237609811,-0.956411593,-0.23152571,30681.0,no
1.085431844,-0.278885511,-0.287708315,60822.0,no
0.595008538,-0.624205627,-0.198217144,47541.0,no
0.237609811,-0.183810009,-0.253897503,36917.0,no
-1.087736175,-1.216907344,-0.23152571,1643.0,no
0.237609811,-0.441556879,0.047739779,34472.0,no
0.810270467,-0.005992994,0.016561653,55005.0,no
-1.087736175,-1.448723188,-0.299046905,404.0,no
-1.087736175,-0.448504121,-0.367810508,10119.0,no
0.237609811,-0.994103017,-0.276404021,30462.0,no
-1.087736175,0.598026555,-0.209287049,23592.0,no
-1.087736175,0.004317484,-0.310420001,16679.0,no
-1.087736175,-0.576400328,-0.220389837,8401.0,no
-1.087736175,-1.288607768,-0.23152571,1150.0,no
0.595008538,0.058792921,-0.321827812,49987.0,no
-1.087736175,1.636233463,-0.265133821,28055.0,no
-1.087736175,-0.101045179,0.477438968,15149.0,no
0.595008538,3.276538892,6.076161787,52260.0,no
-1.087736175,-0.519819834,-0.23152571,9202.0,no
-1.087736175,-0.350158056,-0.321827812,11466.0,no
1.085431844,1.090791075,-0.276404021,62016.0,no
-1.087736175,3.992382852,-0.783346478,29007.0,no
1.966249107,3.232415271,5.136125372,69824.0,no
-1.087736175,-1.09595345,0.139743243,2594.0,no
1.685375631,-0.556800925,-0.242694868,68060.0,no
0.237609811,-0.302686852,-0.333270554,35722.0,no
0.237609811,0.213873344,-0.265133821,40644.0,no
0.595008538,0.46992017,-0.287708315,51107.0,no
-1.087736175,0.35917962,-0.253897503,21327.0,no
0.810270467,0.042858797,-0.253897503,55127.0,no
-1.087736175,0.065710835,-0.265133821,17606.0,no
0.237609811,-0.017417598,-0.187179936,38532.0,no
0.237609811,-1.26191502,-0.299046905,29403.0,no
-1.087736175,0.955014937,-0.321827812,26122.0,no
1.085431844,0.087245929,0.159884474,61319.0,no
-1.087736175,0.757443474,-0.265133821,24907.0,no
0.810270467,-1.184593224,-0.220389837,52486.0,no
0.810270467,1.177378374,0.449659879,56520.0,no
-1.087736175,-0.096640383,0.307580057,15208.0,no
1.184393986,-1.325795766,-0.220389837,62247.0,no
0.237609811,0.57649379,-0.23152571,42952.0,no
0.237609811,0.978699657,-0.265133821,44440.0,no
-1.087736175,0.311466601,-0.310420001,20774.0,no
-1.087736175,0.530307392,-0.310420001,22972.0,no
-1.087736175,0.650867069,-0.242694868,24053.0,no
-1.087736175,1.023414053,-0.287708315,26449.0,no
0.237609811,0.472923409,-0.265133821,42380.0,no
0.810270467,0.531750083,0.440354107,56035.0,no
0.595008538,-1.168695405,-0.356261686,46205.0,no
-1.087736175,1.299354067,-0.23152571,27433.0,no
0.810270467,0.145377423,-0.333270554,55334.0,no
-1.087736175,-0.114338298,-0.356261686,14944.0,no
-1.087736175,0.12372467,-0.253897503,18444.0,no
0.237609811,0.035833635,-0.242694868,39028.0,no
-1.087736175,0.46992017,-0.310420001,22429.0,no
0.964800434,0.938098817,0.189894243,59267.0,no
-1.087736175,0.378484261,0.393474461,21539.0,no
0.964800434,0.541809975,-0.299046905,59055.0,no
0.964800434,-0.191993534,-0.367810508,58066.0,no
-1.087736175,0.402268326,-0.299046905,21782.0,no
0.237609811,-1.216907344,-0.265133821,29514.0,no
0.810270467,-0.020548672,-0.901538929,54960.0,no
-1.087736175,-0.312823425,-0.253897503,11996.0,no
-1.087736175,-0.530082292,-0.209287049,9064.0,no
-1.087736175,-1.02249922,0.709915502,3259.0,no
1.405470933,-0.127751165,-0.299046905,65352.0,no
-1.087736175,0.825268695,-0.287708315,25352.0,no
0.237609811,0.73119072,-0.344748441,43649.0,no
-1.087736175,-0.260360097,-0.367810508,12806.0,no
0.237609811,0.245664767,-0.198217144,40872.0,no
-1.087736175,-0.307746513,1.127776961,12085.0,no
0.237609811,-1.24042592,-0.198217144,29452.0,no
-1.087736175,0.063737565,1.120017002,17585.0,no
-1.087736175,0.095966747,-0.310420001,18067.0,no
1.085431844,0.367253659,0.550522625,61643.0,no
0.237609811,-0.834238051,-0.176175227,31431.0,no
0.237609811,0.766708396,-0.209287049,43789.0,no
-1.087736175,0.734969572,0.787133051,24744.0,no
0.810270467,0.31980283,0.078659948,55689.0,no
-1.087736175,0.38247475,-0.333270554,21578.0,no
-1.087736175,0.372879548,0.402897551,21475.0,no
